Year,Scomber colias,Scomberesox saurus,Sphyraena sphyraena,Trachinotus ovatus,Total
1950,1800,0.01,0.01,0.01,1800.03
1951,1500,0.01,0.01,0.01,1500.03
1952,1300,0.01,0.01,0.01,1300.03
1953,800,0.01,0.01,0.01,800.03
1954,1000,0.01,0.01,0.01,1000.03
1955,900,0.01,0.01,0.01,900.03
1956,600,0.01,0.01,0.01,600.03
1957,700,0.01,0.01,0.01,700.03
1958,800,0.01,0.01,0.01,800.03
1959,800,0.01,0.01,0.01,800.03
1960,1100,0.01,0.01,0.01,1100.03
1961,1200,0.01,0.01,0.01,1200.03
1962,1300,0.01,0.01,0.01,1300.03
1963,1400,0.01,0.01,0.01,1400.03
1964,2000,0.01,0.01,0.01,2000.03
1965,2200,0.01,0.01,0.01,2200.03
1966,1500,0.01,0.01,0.01,1500.03
1967,2300,0.01,0.01,0.01,2300.03
1968,2500,0.01,0.01,0.01,2500.03
1969,2400,0.01,0.01,0.01,2400.03
1970,2470,0.01,0.01,0.01,2470.03
1971,2482,0.01,0.01,0.01,2482.03
1972,1959,0.01,0.01,0.01,1959.03
1973,1369,0.01,0.01,0.01,1369.03
1974,1704,0.01,0.01,0.01,1704.03
1975,1829,0.01,0.01,0.01,1829.03
1976,3478,0.01,0.01,0.01,3478.03
1977,3852,0.01,0.01,0.01,3852.03
1978,4407,0.01,0.01,0.01,4407.03
1979,5389,0.01,0.01,0.01,5389.03
1980,6821,0.01,0.01,0.01,6821.03
1981,8124,0.01,0.01,0.01,8124.03
1982,12250,0.01,0.01,0.01,12250.03
1983,9197,0.01,0.01,0.01,9197.03
1984,10795,0.01,0.01,0.01,10795.03
1985,27873,0.01,0.01,0.01,27873.03
1986,32648,0.01,0.01,0.01,32648.03
1987,38776,0.01,0.01,0.01,38776.03
1988,37505,0.01,0.01,0.01,37505.03
1989,32952,0.01,0.01,0.01,32952.03
1990,25219,0.01,0.01,0.01,25219.03
1991,21278,0.01,0.01,0.01,21278.03
1992,24241,0.01,0.01,0.01,24241.03
1993,31086,0.01,0.01,0.01,31086.03
1994,35100,0.01,0.01,0.01,35100.03
1995,28712,0.01,0.01,0.01,28712.03
1996,21290,0.01,0.01,0.01,21290.03
1997,20903,0.01,0.01,0.01,20903.03
1998,16570,0.01,0.01,0.01,16570.03
1999,17598,0.01,29,0.01,17627.02
2000,16848,0.01,103,0.01,16951.02
2001,10751,0.01,130,0.01,10881.02
2002,9449,0.01,160,0.01,9609.02
2003,14121,0.01,138,0.01,14259.02
2004,18633,0.01,161,63,18857.01
2005,15898,29,226,89,16242
2006,13672,26,572,57,14327
2007,11275,528,463,46,12312
2008,11686,2204,436,68,14394
2009,8464,383,521,78,9446
2010,7546,264,441,89,8340
2011,7785,151,395,74,8405
2012,6967,2072,284,88,9411
2013,8533,116,230,41,8920
2014,8470,175,201,42,8888
2015,9555,265,197,150,10167
2016,11440,183,175,117,11915
2017,14152,57,182,71,14462
2018,12269,1658,170,67,14164
